Relative_Density,Machine_Type,Laser_Power,Laser_Speed,Hatch_Spacing,Layer_Thickness,Powder_Size,Laser_Energy,Machine_Type_Concept Laser M2,Machine_Type_Concept laser M,Machine_Type_Concept laser M3,Machine_Type_EOS M270,Machine_Type_SLM,Machine_Type_SLM 125 HL,Machine_Type_SLM 250 HL,Machine_Type_SLM 280 HL,Machine_Type_Self-developed SLM,Machine_Type_Trumpf LF250
99.6,SLM 250 HL,175,710,120,30,35,68.47,0,0,0,0,0,0,1,0,0,0
99.55,SLM 125 HL,70,400,120,30,35,48.6,0,0,0,0,0,1,0,0,0,0
99.8,Concept Laser M2,100,1000,75,30,42,44.44,1,0,0,0,0,0,0,0,0,0
97.6,EOS M270,80,960,95,30,30,29.24,0,0,0,1,0,0,0,0,0,0
98.2,EOS M270,120,460,95,30,30,91.53,0,0,0,1,0,0,0,0,0,0
87.8,EOS M270,80,1560,95,30,30,17.99,0,0,0,1,0,0,0,0,0,0
99.5,EOS M270,120,960,100,30,30,42,0,0,0,1,0,0,0,0,0,0
96,SLM,110,200,40,50,20,275,0,0,0,0,1,0,0,0,0,0
98.3,EOS M270,120,1300,95,30,30,32.39,0,0,0,1,0,0,0,0,0,0
99.43,SLM 125 HL,100,600,120,30,32,46.3,0,0,0,0,0,1,0,0,0,0
98,EOS M270,120,1320,95,30,30,35,0,0,0,1,0,0,0,0,0,0
99.86,SLM 250 HL,175,600,175,30,42,56,0,0,0,0,0,0,1,0,0,0
99.71,Concept laser M3,95,140,120,30,37,188.5,0,0,1,0,0,0,0,0,0,0
99.88,SLM 250 HL,175,600,145,30,42,67,0,0,0,0,0,0,1,0,0,0
99.72,SLM 125 HL,80,400,90,30,32,74.1,0,0,0,0,0,1,0,0,0,0
96.75,SLM 250 HL,175,200,100,30,42,292,0,0,0,0,0,0,1,0,0,0
100,EOS M270,80,480,95,30,30,60,0,0,0,1,0,0,0,0,0,0
98.5,Self-developed SLM,42,200,100,30,35,71,0,0,0,0,0,0,0,0,1,0
97.73,SLM 125 HL,50,300,70,30,32,79.4,0,0,0,0,0,1,0,0,0,0
95.11,Concept laser M3,95,190,140,30,37,119,0,0,1,0,0,0,0,0,0,0
99.74,SLM 250 HL,175,800,100,30,42,73,0,0,0,0,0,0,1,0,0,0
97.76,SLM 125 HL,50,300,100,30,32,55.6,0,0,0,0,0,1,0,0,0,0
96,EOS M270,80,1070,95,30,30,30,0,0,0,1,0,0,0,0,0,0
99.5,EOS M270,186,1200,90,30,30,57.41,0,0,0,1,0,0,0,0,0,0
96,SLM,110,200,40,50,18.35,275,0,0,0,0,1,0,0,0,0,0
99.1,Self-developed SLM,42,50,75,30,30,373,0,0,0,0,0,0,0,0,1,0
96.92,Concept laser M3,95,190,120,30,37,138.9,0,0,1,0,0,0,0,0,0,0
99.31,SLM 125 HL,90,600,120,30,32,41.7,0,0,0,0,0,1,0,0,0,0
90,SLM,120,200,40,50,20,300,0,0,0,0,1,0,0,0,0,0
98.48,SLM 125 HL,80,500,90,30,32,59.3,0,0,0,0,0,1,0,0,0,0
99.71,SLM 125 HL,80,300,90,30,35,98.8,0,0,0,0,0,1,0,0,0,0
95.2,Concept Laser M2,100,1000,135,30,42,24.7,1,0,0,0,0,0,0,0,0,0
99.88,SLM 250 HL,175,600,100,30,42,97,0,0,0,0,0,0,1,0,0,0
99.77,SLM 125 HL,100,400,120,30,32,69.4,0,0,0,0,0,1,0,0,0,0
96,EOS M270,80,1070,95,30,30,26.23,0,0,0,1,0,0,0,0,0,0
97.6,SLM 250 HL,175,300,100,30,42,195,0,0,0,0,0,0,1,0,0,0
97.6,Self-developed SLM,42,100,75,30,35,187,0,0,0,0,0,0,0,0,1,0
99.9,Concept Laser M2,200,1250,75,40,35,53.33,1,0,0,0,0,0,0,0,0,0
99.88,SLM 250 HL,175,600,115,30,42,84,0,0,0,0,0,0,1,0,0,0
99.93,SLM 250 HL,165,600,100,30,42,92,0,0,0,0,0,0,1,0,0,0
90,SLM,120,200,40,50,18.35,300,0,0,0,0,1,0,0,0,0,0
97.97,Concept laser M,95,1200,77,25,20,41.13,0,1,0,0,0,0,0,0,0,0
99.71,SLM 125 HL,80,300,90,30,32,98.8,0,0,0,0,0,1,0,0,0,0
99.55,SLM 125 HL,70,400,120,30,32,48.6,0,0,0,0,0,1,0,0,0,0
99.94,SLM 250 HL,175,600,70,30,42,139,0,0,0,0,0,0,1,0,0,0
99.9,EOS M270,120,720,95,30,30,58.48,0,0,0,1,0,0,0,0,0,0
99.7,EOS M270,195,225,100,30,21,288.9,0,0,0,1,0,0,0,0,0,0
99.45,Concept Laser M2,165,800,75,20,30,137.5,1,0,0,0,0,0,0,0,0,0
99,EOS M270,120,600,95,30,30,70,0,0,0,1,0,0,0,0,0,0
99.7,SLM 125 HL,100,500,120,30,35,55.6,0,0,0,0,0,1,0,0,0,0
99.43,SLM 125 HL,100,600,120,30,35,46.3,0,0,0,0,0,1,0,0,0,0
97.76,SLM 125 HL,50,300,100,30,35,55.6,0,0,0,0,0,1,0,0,0,0
99.63,SLM 125 HL,80,600,90,30,32,49.4,0,0,0,0,0,1,0,0,0,0
99.86,Concept Laser M2,200,1000,75,40,35,66.67,1,0,0,0,0,0,0,0,0,0
99.77,SLM 125 HL,100,400,120,30,35,69.4,0,0,0,0,0,1,0,0,0,0
97.6,Self-developed SLM,42,100,75,30,30,187,0,0,0,0,0,0,0,0,1,0
99.9,Self-developed SLM,42,200,75,30,35,93,0,0,0,0,0,0,0,0,1,0
99.39,SLM 125 HL,60,300,80,30,35,83.3,0,0,0,0,0,1,0,0,0,0
99.35,SLM 250 HL,175,1100,100,30,42,53,0,0,0,0,0,0,1,0,0,0
99.72,SLM 125 HL,80,400,90,30,35,74.1,0,0,0,0,0,1,0,0,0,0
